ticker_1,ticker_2,correlation,period
EWA,EWA,1.0,last_60d
GLD,EWA,0.474,last_60d
QQQ,EWA,0.5587,last_60d
SLV,EWA,0.541,last_60d
SPY,EWA,0.6141,last_60d
USO,EWA,-0.1398,last_60d
^AXJO,EWA,0.393,last_60d
EWA,GLD,0.474,last_60d
GLD,GLD,1.0,last_60d
QQQ,GLD,0.1868,last_60d
SLV,GLD,0.8465,last_60d
SPY,GLD,0.1449,last_60d
USO,GLD,0.2297,last_60d
^AXJO,GLD,0.2187,last_60d
EWA,QQQ,0.5587,last_60d
GLD,QQQ,0.1868,last_60d
QQQ,QQQ,1.0,last_60d
SLV,QQQ,0.2945,last_60d
SPY,QQQ,0.9405,last_60d
USO,QQQ,-0.1309,last_60d
^AXJO,QQQ,-0.0322,last_60d
EWA,SLV,0.541,last_60d
GLD,SLV,0.8465,last_60d
QQQ,SLV,0.2945,last_60d
SLV,SLV,1.0,last_60d
SPY,SLV,0.268,last_60d
USO,SLV,0.1012,last_60d
^AXJO,SLV,0.242,last_60d
EWA,SPY,0.6141,last_60d
GLD,SPY,0.1449,last_60d
QQQ,SPY,0.9405,last_60d
SLV,SPY,0.268,last_60d
SPY,SPY,1.0,last_60d
USO,SPY,-0.1503,last_60d
^AXJO,SPY,-0.0053,last_60d
EWA,USO,-0.1398,last_60d
GLD,USO,0.2297,last_60d
QQQ,USO,-0.1309,last_60d
SLV,USO,0.1012,last_60d
SPY,USO,-0.1503,last_60d
USO,USO,1.0,last_60d
^AXJO,USO,0.037,last_60d
EWA,^AXJO,0.393,last_60d
GLD,^AXJO,0.2187,last_60d
QQQ,^AXJO,-0.0322,last_60d
SLV,^AXJO,0.242,last_60d
SPY,^AXJO,-0.0053,last_60d
USO,^AXJO,0.037,last_60d
^AXJO,^AXJO,1.0,last_60d
EWA,EWA,1.0,last_1y
GLD,EWA,0.315,last_1y
QQQ,EWA,0.7392,last_1y
SLV,EWA,0.3579,last_1y
SPY,EWA,0.7798,last_1y
USO,EWA,0.1501,last_1y
^AXJO,EWA,0.211,last_1y
EWA,GLD,0.315,last_1y
GLD,GLD,1.0,last_1y
QQQ,GLD,0.0412,last_1y
SLV,GLD,0.7568,last_1y
SPY,GLD,0.035,last_1y
USO,GLD,0.1683,last_1y
^AXJO,GLD,0.0945,last_1y
EWA,QQQ,0.7392,last_1y
GLD,QQQ,0.0412,last_1y
QQQ,QQQ,1.0,last_1y
SLV,QQQ,0.1984,last_1y
SPY,QQQ,0.9738,last_1y
USO,QQQ,0.193,last_1y
^AXJO,QQQ,-0.0361,last_1y
EWA,SLV,0.3579,last_1y
GLD,SLV,0.7568,last_1y
QQQ,SLV,0.1984,last_1y
SLV,SLV,1.0,last_1y
SPY,SLV,0.1796,last_1y
USO,SLV,0.1281,last_1y
^AXJO,SLV,0.1313,last_1y
EWA,SPY,0.7798,last_1y
GLD,SPY,0.035,last_1y
QQQ,SPY,0.9738,last_1y
SLV,SPY,0.1796,last_1y
SPY,SPY,1.0,last_1y
USO,SPY,0.2108,last_1y
^AXJO,SPY,-0.0563,last_1y
EWA,USO,0.1501,last_1y
GLD,USO,0.1683,last_1y
QQQ,USO,0.193,last_1y
SLV,USO,0.1281,last_1y
SPY,USO,0.2108,last_1y
USO,USO,1.0,last_1y
^AXJO,USO,-0.0288,last_1y
EWA,^AXJO,0.211,last_1y
GLD,^AXJO,0.0945,last_1y
QQQ,^AXJO,-0.0361,last_1y
SLV,^AXJO,0.1313,last_1y
SPY,^AXJO,-0.0563,last_1y
USO,^AXJO,-0.0288,last_1y
^AXJO,^AXJO,1.0,last_1y
