ticker,date,event_type,event_label,close,return_1d_pct,return_3d_pct,z_score_1d,z_score_3d,volume_spike,rsi,vix_rank,n_articles,avg_news_sentiment,sentiment_move_alignment,correlation_rating,coverage_rating,top_headline,top_source
USO,2026-01-08,major_gain,MAJOR GAIN,70.54000091552734,4.056645468152098,0.4557101812323383,2.1994718142469134,0.39887207396264274,1.3175369255261982,53.844570431896294,0.1884920634920635,0,0.0,0.0,0,0,No news found,N/A
EWA,2026-01-20,major_loss,MAJOR LOSS,26.459999084472656,-1.0471229956700912,-0.3014386898829491,-1.5781423149232943,-0.4754541875149118,1.8404636104239274,53.59932528655219,0.753968253968254,0,0.0,0.0,0,0,No news found,N/A
GLD,2026-01-20,major_gain,MAJOR GAIN,437.2300109863281,3.783617488689295,2.6506100578038483,2.3423605611633884,0.718254565788606,1.5403143287667964,73.54337610064691,0.753968253968254,0,0.0,0.0,0,0,No news found,N/A
QQQ,2026-01-20,major_loss,MAJOR LOSS,608.0599975585938,-2.12471622179754,-1.8545703269732816,-2.2928115321655342,-1.2122688097523433,1.734601555153887,40.10133303799212,0.753968253968254,0,0.0,0.0,0,0,No news found,N/A
SPY,2026-01-20,extreme_loss,EXTREME LOSS,677.5800170898438,-2.0356759970762806,-1.851203507284771,-3.0682917153626974,-1.8527998501605825,1.5301676897412844,40.99895328459548,0.753968253968254,0,0.0,0.0,0,0,No news found,N/A
^AXJO,2026-01-20,major_loss,MAJOR LOSS,8815.900390625,-0.6603144895487079,-0.5168286409838907,-1.5059165128196799,-0.9419123375264312,1.2394371475145678,57.70169596820224,0.753968253968254,0,0.0,0.0,0,0,No news found,N/A
QQQ,2026-01-21,major_gain,MAJOR GAIN,616.280029296875,1.3518455039445598,-0.8845571972164401,1.5197005320955956,-0.529863086008188,1.6550107369158156,48.00505805444299,0.4801587301587302,0,0.0,0.0,0,0,No news found,N/A
SPY,2026-01-21,major_gain,MAJOR GAIN,685.4000244140625,1.1541083159159804,-0.9880916902816672,1.662988155148351,-0.9878674551563965,1.723885682786534,49.56145303864651,0.4801587301587302,0,0.0,0.0,0,0,No news found,N/A
EWA,2026-01-22,major_gain,MAJOR GAIN,27.06999969482422,1.385763750233071,1.2341059331739013,1.6320061449219072,0.6932204228118495,1.0373788964980188,64.65565070743074,0.21031746031746032,0,0.0,0.0,0,0,No news found,N/A
USO,2026-01-23,major_gain,MAJOR GAIN,73.94999694824219,2.9657438909338696,2.9084279434163474,1.545372813915802,1.0267314663793907,0.9702451712086949,60.236885816003706,0.29365079365079366,0,0.0,0.0,0,0,No news found,N/A
