ticker,ticker_name,group,year,open_price,close_price,high,low,annual_return_pct,max_drawdown_pct,annualized_volatility_pct,sharpe_ratio,best_day_date,best_day_return_pct,worst_day_date,worst_day_return_pct,trading_days,up_days,down_days,win_rate_pct,avg_daily_volume
SPY,S&P 500,US,2015,170.59,172.79,178.19,156.96,1.29,-11.91,15.46,0.08,2015-08-26,3.84,2015-08-24,-4.21,252,121,130,48.0,123620206
SPY,S&P 500,US,2016,170.37,193.52,196.03,154.98,13.59,-9.19,13.06,1.04,2016-01-29,2.44,2016-06-24,-3.59,252,137,114,54.4,104724339
SPY,S&P 500,US,2017,195.0,235.52,236.71,195.0,20.78,-2.61,6.74,3.08,2017-03-01,1.4,2017-05-17,-1.77,251,143,107,57.0,70457158
SPY,S&P 500,US,2018,237.21,224.76,261.31,210.75,-5.25,-19.35,17.04,-0.31,2018-12-26,5.05,2018-02-05,-4.18,251,133,116,53.0,97164470
SPY,S&P 500,US,2019,225.0,294.94,295.93,219.63,31.09,-6.62,12.51,2.48,2019-01-04,3.35,2019-08-05,-3.01,252,150,102,59.5,70042490
SPY,S&P 500,US,2020,297.7,349.01,349.01,205.5,17.24,-33.72,33.4,0.52,2020-03-24,9.06,2020-03-16,-10.94,253,146,107,57.7,100359315
SPY,S&P 500,US,2021,344.26,449.27,451.66,344.26,30.51,-5.11,12.99,2.35,2021-03-01,2.42,2021-01-27,-2.44,252,146,106,57.9,73795232
SPY,S&P 500,US,2022,451.88,367.62,451.88,341.18,-18.65,-24.5,24.24,-0.77,2022-11-10,5.5,2022-09-13,-4.35,251,109,141,43.4,94759609
SPY,S&P 500,US,2023,366.07,463.84,465.19,364.68,26.71,-9.97,13.08,2.04,2023-01-06,2.29,2023-02-21,-2.01,250,140,109,56.0,81930562
SPY,S&P 500,US,2024,461.25,579.28,598.74,456.01,25.59,-8.41,12.57,2.04,2024-11-06,2.49,2024-12-18,-2.98,252,148,104,58.7,57411873
SPY,S&P 500,US,2025,577.85,681.92,690.38,492.19,18.01,-18.76,19.49,0.92,2025-04-09,10.5,2025-04-04,-5.85,250,143,107,57.2,72445004
SPY,S&P 500,US,2026,683.17,672.38,695.49,672.38,-1.58,-3.32,11.9,-0.13,2026-02-06,1.92,2026-01-20,-2.04,44,22,22,50.0,83961059
QQQ,Nasdaq-100,US,2015,94.78,104.04,106.78,90.73,9.77,-13.94,17.91,0.55,2015-08-26,5.04,2015-08-21,-4.37,252,131,119,52.0,32437607
QQQ,Nasdaq-100,US,2016,101.85,111.43,113.63,89.59,9.41,-12.04,16.17,0.58,2016-03-01,3.21,2016-06-24,-4.12,252,133,117,52.8,28291308
QQQ,Nasdaq-100,US,2017,112.42,147.82,150.55,112.42,31.49,-4.88,10.32,3.05,2017-10-27,2.91,2017-05-17,-2.54,251,155,96,61.8,27834301
QQQ,Nasdaq-100,US,2018,150.41,147.63,177.89,137.34,-1.85,-22.8,22.89,-0.08,2018-12-26,6.24,2018-10-24,-4.58,251,136,115,54.2,47048022
QQQ,Nasdaq-100,US,2019,148.23,205.15,206.29,143.38,38.41,-10.98,16.19,2.37,2019-01-04,4.28,2019-08-05,-3.53,252,151,101,59.9,30196078
QQQ,Nasdaq-100,US,2020,208.58,304.46,304.46,163.36,45.97,-28.56,35.63,1.29,2020-03-13,8.47,2020-03-16,-11.98,253,159,94,62.8,46667001
