ticker,ticker_name,group,year,month,year_month,monthly_return_pct,monthly_volatility_pct,month_high,month_low,open_price,close_price,direction
SPY,S&P 500,US,2015,1,2015-01,-2.91,4.99,171.15,165.27,170.59,165.62,DOWN
SPY,S&P 500,US,2015,2,2015-02,4.33,2.71,175.89,167.67,167.67,174.93,UP
SPY,S&P 500,US,2015,3,2015-03,-2.19,4.08,176.04,169.82,176.04,172.19,DOWN
SPY,S&P 500,US,2015,4,2015-04,1.34,2.46,176.54,171.58,171.58,173.88,UP
SPY,S&P 500,US,2015,5,2015-05,0.2,3.09,178.08,173.53,175.76,176.11,FLAT
SPY,S&P 500,US,2015,6,2015-06,-2.23,3.21,177.72,172.18,176.47,172.54,DOWN
SPY,S&P 500,US,2015,7,2015-07,1.45,3.36,178.19,171.43,173.92,176.43,UP
SPY,S&P 500,US,2015,8,2015-08,-5.78,7.73,176.51,156.96,175.84,165.68,DOWN
SPY,S&P 500,US,2015,9,2015-09,0.45,6.5,167.78,158.4,160.74,161.45,FLAT
SPY,S&P 500,US,2015,10,2015-10,8.22,3.64,176.05,161.87,161.87,175.19,UP
SPY,S&P 500,US,2015,11,2015-11,-0.81,3.5,177.77,170.64,177.26,175.83,DOWN
SPY,S&P 500,US,2015,12,2015-12,-2.66,5.25,177.5,169.52,177.5,172.79,DOWN
SPY,S&P 500,US,2016,1,2016-01,-3.63,6.93,170.66,157.35,170.37,164.19,DOWN
SPY,S&P 500,US,2016,2,2016-02,-0.05,5.44,165.73,154.98,164.13,164.05,FLAT
SPY,S&P 500,US,2016,3,2016-03,4.28,3.25,175.51,167.91,167.91,175.08,UP
SPY,S&P 500,US,2016,4,2016-04,-0.29,2.95,178.99,173.75,176.28,175.77,FLAT
SPY,S&P 500,US,2016,5,2016-05,0.9,3.18,179.11,173.96,177.17,178.76,UP
SPY,S&P 500,US,2016,6,2016-06,0.14,5.36,180.92,170.93,179.13,179.39,FLAT
SPY,S&P 500,US,2016,7,2016-07,3.43,2.15,186.03,178.47,179.76,185.93,UP
SPY,S&P 500,US,2016,8,2016-08,0.2,1.58,187.62,184.58,185.77,186.15,FLAT
SPY,S&P 500,US,2016,9,2016-09,0.0,4.1,187.56,182.53,186.16,186.16,FLAT
SPY,S&P 500,US,2016,10,2016-10,-1.5,1.94,186.04,182.79,185.71,182.93,DOWN
SPY,S&P 500,US,2016,11,2016-11,4.44,3.04,190.65,179.49,181.61,189.67,UP
SPY,S&P 500,US,2016,12,2016-12,2.4,2.31,196.03,188.98,188.98,193.52,UP
SPY,S&P 500,US,2017,1,2017-01,1.02,1.91,198.75,195.0,195.0,196.98,UP
