group,feature_a,feature_b,mean_abs_interaction
US,vix_rank,vix_term_structure,0.012121696
US,vix_rank,credit_spread_5d,0.010707229
US,atr_14,yield_curve_slope,0.008509749
US,corr_30d,vix_term_structure,0.008298796
US,corr_30d,yield_curve_slope,0.008050912
US,corr_30d,momentum_divergence_20d,0.00768837
US,macd_diff,bb_low_dist,0.005951095
US,vix_rank,yield_curve_slope,0.004953655
US,corr_30d,moy_cos,0.0049345777
US,atr_14,moy_cos,0.004712222
US,volatility_7d,vix_term_structure,0.0046648523
US,atr_14,vix_rank,0.0045908713
US,atr_14,vix_term_structure,0.004303033
US,corr_30d,credit_spread_5d,0.004110741
US,corr_30d,vix_rank,0.0040458585
US,yield_curve_slope,momentum_divergence_20d,0.003970445
US,rsi,vix_rank,0.0039056872
US,macd_diff,credit_spread_5d,0.0038417138
US,vix_term_structure,credit_spread_5d,0.0037804015
US,return_14d,vix_rank,0.0037387325
US,yield_curve_slope,moy_cos,0.0037245436
US,vix_term_structure,yield_curve_slope,0.0036848777
US,atr_14,corr_30d,0.0034270806
US,vix_term_structure,moy_sin,0.0033613523
US,credit_spread_5d,yield_curve_slope,0.0030801222
US,macd_diff,corr_30d,0.0030155058
US,credit_spread_5d,momentum_divergence_20d,0.0029928023
US,atr_14,momentum_divergence_20d,0.002738293
US,vix_term_structure,momentum_divergence_20d,0.0026876484
US,return_30d,vix_rank,0.0025926519
US,vix_term_structure,moy_cos,0.0022846293
US,bb_low_dist,corr_30d,0.0022808907
US,volatility_7d,yield_curve_slope,0.002178314
US,bb_low_dist,vix_rank,0.0020204799
US,macd_diff,vix_term_structure,0.0020077114
US,bb_high_dist,vix_rank,0.0019614466
US,rsi,credit_spread_5d,0.001930245
US,macd_diff,vix_rank,0.0019083717
US,volatility_7d,atr_14,0.0018923266
US,volatility_7d,credit_spread_5d,0.0018676204
US,return_14d,credit_spread_5d,0.0018592936
US,return_30d,credit_spread_5d,0.0018518377
US,vix_rank,momentum_divergence_20d,0.0018242167
US,bb_high_dist,vix_term_structure,0.0018089012
US,momentum_divergence_20d,moy_cos,0.0017839653
US,bb_low_dist,vix_term_structure,0.0015444553
US,atr_14,bb_low_dist,0.0015234052
US,vix_rank,moy_sin,0.0015145957
US,yield_curve_slope,moy_sin,0.0015014408
US,return_14d,vix_term_structure,0.0015014396
